Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.012222833,-0.651604942,-0.314573478,0.09453369,0.729713705
0.022255833,-0.225954539,-0.263391337,-0.499564471,0.608272234
0.032288833,0.212849175,-0.421998231,-0.800642867,0.929739899
0.042321833,0.631619158,-0.606700664,-1.241333477,1.519189672
0.052354833,1.00041299,-0.623342717,-1.677691886,2.050373712
0.062387833,1.22966302,-0.529376207,-2.044419311,2.443759528
0.072420833,1.280050816,-0.433986193,-2.272206953,2.643822714
0.082452833,1.214967797,-0.289373733,-2.331129929,2.644626751
0.092485833,1.079953834,-0.139454632,-2.316393192,2.559575218
0.102518833,0.831228775,-0.053583884,-2.306276339,2.452085452
0.112551833,0.654367166,-0.075527315,-2.249362466,2.343828549
0.122584833,0.689911805,-0.25201938,-2.086242106,2.211763593
0.132617833,0.634398925,-0.127365221,-2.022879923,2.123847235
0.142650833,0.582046464,0.112278527,-2.052721773,2.136598051
0.152683833,0.704684211,0.143015878,-2.107251152,2.226553569
0.162716833,0.699228174,-0.130584113,-1.934823779,2.061435254
0.172749833,0.523923679,-0.200078856,-1.824329529,1.908587384
0.182781833,0.364194119,0.061227657,-2.084662188,2.117121305
0.192814833,0.404607443,0.391379871,-2.486119151,2.549053515
0.202847833,0.746545013,0.624762129,-2.875532604,3.035843364
0.212880833,1.477463341,0.66223518,-3.117917234,3.513240845
0.222913833,2.348418392,0.378752224,-2.9445163,3.785326727
0.232946833,3.084800944,-0.125695841,-2.498379008,3.971611005
0.242979833,3.578290157,-0.541722311,-1.556589618,3.939618605
0.253012833,3.755678308,-0.803223828,-1.029226899,3.976128278
0.263045833,4.249099109,-1.277188896,-1.111056343,4.573893409
0.273077833,4.254627652,-1.958540963,-0.779719775,4.748231469
0.283110833,3.087324017,-2.754375664,-2.46398627,4.815535612
0.293143833,3.026366794,-1.857782327,-7.907846954,8.668580887
0.303176833,5.031561229,1.17599552,-11.90879374,12.98148459
0.313209833,6.724582175,0.294174589,-2.166862346,7.071197674
0.323242833,9.53215493,-2.589237723,-1.566279624,10.00096803
0.333275833,12.03243428,-5.378768309,-0.462202517,13.18803452
0.343308833,12.65583518,-6.244449171,0.770865337,14.13356087
0.353341833,11.61408588,-5.770138825,1.393899028,13.04317628
0.363374833,8.760579157,-5.368053871,1.243115709,10.34935197
0.373406833,8.932919991,-5.470904641,1.268380358,10.55161816
0.383439833,10.57168638,-5.453982214,2.116538284,12.08247529
0.393472833,11.37219827,-6.388737404,3.605639924,13.53305207
0.403505833,11.52162737,-8.646218728,5.42743527,15.39357168
0.413538833,11.56544874,-10.59395725,5.642685311,16.66827623
0.423571833,11.41450404,-11.92322116,5.348836997,17.35120061
0.433604417,10.36606085,-12.98861893,4.691403551,17.26756227
0.443637417,8.921610891,-13.70140388,3.989045947,16.82961962
0.453670417,7.89260911,-14.54571258,4.68537858,17.19952922
0.463702417,6.615339814,-15.95400395,7.019599932,18.64316888
0.473735417,5.668965037,-18.21598295,9.461251009,21.29494001
0.483768417,5.067661353,-20.04616613,10.45680613,23.1705581
0.493801417,3.572629468,-21.18625156,11.24314671,24.24931513
0.503834417,1.567800484,-22.87503269,12.44572484,26.08871759
0.513867417,-0.609477507,-24.88258063,13.51865968,28.32434361
0.523900417,-2.90423834,-25.94896307,13.93163215,29.59516277
0.533933417,-5.16923626,-26.30695768,13.95102151,30.22264097
0.543966417,-7.224936604,-26.3151087,13.93552171,30.64120462
0.553998417,-8.84268459,-25.72134968,13.54956572,30.38703064
0.564031417,-10.03376008,-24.3708557,12.77127442,29.28686394
0.574064417,-10.84575941,-22.50282467,12.00735324,27.71613514
0.584097417,-11.3239833,-20.58931633,11.60785977,26.20868087
0.594130417,-11.34178573,-18.58246304,11.04090204,24.40994785
0.604163417,-11.33051464,-16.11805109,10.39468414,22.27603177
0.614196417,-11.18320222,-13.92032597,10.13161908,20.53020195
0.624229417,-11.02813874,-11.95619478,9.94685876,19.06594967
0.634262417,-10.79488629,-10.14552493,9.484990704,17.59051718
0.644295417,-10.45730548,-8.625412581,8.980570121,16.26049261
0.654327417,-10.11102285,-7.355172808,8.423523427,15.07604381
0.664360417,-9.819044473,-6.540246363,7.97965427,14.24301018
0.674393417,-9.777171392,-6.252213104,7.567935444,13.85485099
0.684426417,-9.86814939,-5.706749745,6.537568338,13.14104885
0.694459417,-10.15817129,-5.010887813,5.439412122,12.56521567
0.704492417,-10.64806271,-4.548347912,4.612177287,12.46358245
0.714525417,-11.18046573,-3.897997198,3.870907048,12.45717132
0.724558417,-11.87444602,-3.100321208,3.400326641,12.73486087
0.734590417,-12.74116945,-2.343384524,3.437620767,13.40321179
0.744623417,-13.4254305,-1.691483129,3.266394412,13.92022384
0.754656417,-13.8941819,-1.276309767,3.38531333,14.35749294
0.764689417,-14.48669897,-0.951438466,4.12430374,15.09236773
0.774722417,-14.629005,-0.795280386,4.178888083,15.23493892
0.784755417,-13.68148475,-1.064381529,2.04883162,13.87492862
0.794788417,-13.44076775,-1.141731421,1.144125856,13.53760733
0.804821417,-13.90864089,-0.826938381,1.03450752,13.97155412
0.814854417,-14.38527317,-0.513111885,0.825404656,14.41806717
0.824887417,-14.9591119,-0.451580465,1.15425031,15.01037133
0.834919417,-15.76071371,-0.169742332,1.64941709,15.84769655
0.844952417,-16.80971121,0.760733866,1.817636222,16.92480158
0.854985417,-17.64819726,1.995059456,1.774510667,17.84903406
0.865018417,-18.15691905,3.107713258,1.9341379,18.52221587
0.875051417,-18.42458354,4.004539899,2.091585292,18.97040715
0.885084417,-18.59767749,4.521642509,2.257457351,19.27212943
0.895117417,-18.83665671,4.893516361,2.322090134,19.59995512
0.905150417,-18.93395203,5.272115681,2.172936434,19.7740081
0.915183417,-19.06963901,5.77480081,1.800706193,20.00604907
0.925215417,-19.23404167,6.540000195,1.366255732,20.36140015
0.935248417,-18.89808054,7.246371912,1.339537464,20.28402609
0.945281417,-18.18573179,7.531143009,1.744807981,19.76065057
0.955314417,-17.01118521,7.5389315,2.544132301,18.78000319
0.965347417,-15.51677957,7.389149224,2.997932369,17.44584687
0.975380417,-14.4239794,7.520675908,3.513715262,16.64205344
0.985413417,-13.71947762,7.828042985,4.150056632,16.33172658
0.995446417,-13.17447151,7.984094061,4.659742633,16.09427411
1.005479417,-13.12549056,8.106176907,5.414524618,16.34948572
1.015511417,-13.63427784,8.242118239,6.251082838,17.11438231
1.025544417,-14.21772004,8.301340009,7.036419448,17.90438515
1.035577417,-14.72508762,7.754726502,8.604070829,18.73483449
1.045610417,-14.92789595,6.583265498,9.60975216,18.93485671
1.055643417,-15.3099308,5.174043841,10.56455511,19.30736998
1.065676417,-16.01591777,3.822554083,11.26618825,19.95115384
1.075709417,-16.79736774,2.940244324,11.13876806,20.36832722
1.085742417,-17.78868714,2.017032707,11.61912501,21.34267737
1.095775417,-18.68438235,0.500302974,12.79567017,22.65139338
1.105808417,-18.8900605,-2.067956693,14.91557821,24.1575103
1.115840417,-18.94359994,-5.593535371,18.06923187,26.77022146
1.125873417,-18.60543558,-9.408181095,20.76759793,29.42735511
1.135906417,-18.00968032,-12.90447282,22.9539701,31.90233138
1.145939417,-17.08295277,-15.34641509,23.93176489,33.16728964
