Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.002525625,-3.285966797,5.832471313,8.143665161,10.54203878
0.012558625,-3.409759369,6.148314514,8.002957764,10.65249094
0.022590625,-3.471281433,6.30204483,7.772137756,10.59111369
0.032623625,-3.433110809,6.443051605,7.534432068,10.49127401
0.042656625,-3.38970108,6.569538574,7.507488098,10.53618945
0.052689625,-3.348386993,6.652615814,7.544910278,10.60163496
0.062722625,-3.395239563,6.689139862,7.6640625,10.7242761
0.072755625,-3.544030151,6.802005157,7.765551453,10.91472461
0.082787625,-3.607198792,6.929989014,7.60209137,10.90084511
0.092820625,-3.595972137,7.021748199,7.332352295,10.7702996
0.102853625,-3.605552216,7.054679718,7.277416534,10.75775553
0.112886625,-3.691922607,7.110363922,7.432194672,10.9281785
0.122919625,-3.774101715,7.189549255,7.513475647,11.06281061
0.132952625,-3.776496735,7.205565948,7.482190704,11.05284063
0.142985625,-3.75718689,7.088958435,7.399113464,10.91405814
0.153017625,-3.719165955,6.966063995,7.368427277,10.80055385
0.163050625,-3.70329895,6.796167297,7.525301056,10.79502057
0.173083625,-3.203488312,5.655838623,8.830137634,10.96458748
0.183116625,-3.20842804,5.262905731,9.241781616,11.10867745
0.193149625,-3.769760742,5.673052826,8.895701294,11.2039335
0.203182625,-3.911216583,6.011049957,8.62117218,11.2140513
0.213214625,-3.833827515,6.283633118,8.335865479,11.12065339
0.223247625,-3.881727905,6.343508606,8.009993134,10.93013737
0.233280625,-3.89055954,6.114035797,7.544161835,10.46098777
0.243313625,-3.961661682,5.797893219,7.061116333,9.958398111
0.253346625,-4.068988495,5.506748657,6.705156555,9.583322627
0.263379625,-4.212839355,5.312003632,6.549180908,9.426408043
0.273411625,-4.411775665,5.125641174,6.312972107,9.251463603
0.283444625,-4.638554077,4.990023193,6.173162842,9.193718229
0.293477625,-4.87221817,4.891228638,5.96973587,9.126903848
0.303510625,-5.047204285,4.826712799,5.8246875,9.093866725
0.313543625,-5.225483551,4.777016144,5.600154419,9.027031134
0.323576625,-5.537285156,4.74348587,5.205275574,8.958631531
0.333608625,-6.656507721,4.684957581,2.935844879,8.65315594
0.343641625,-6.82864975,5.048102417,1.370699615,8.601895887
0.353674625,-5.890999603,4.997208252,1.678759003,7.905327218
0.363707625,-5.750292206,4.720284119,1.260678406,7.545611483
0.373740625,-4.369264069,4.310885468,1.331181793,6.280624729
0.383773625,-2.864892426,3.556753693,0.460891571,4.590264315
0.393805625,-1.967957611,2.851570129,0.270038452,3.475230946
0.403838625,-1.685944061,2.337688751,0.532143402,2.930933755
0.413871625,-1.788031769,1.755998383,0.684376831,2.597875973
0.423904625,-1.90718399,1.479673004,0.871038666,2.566221216
0.433937625,-1.815424805,1.386416931,1.321452026,2.63896847
0.443970625,-1.464404755,0.728235626,1.665137329,2.333986019
0.454003625,-0.964743805,0.146545258,2.218686218,2.423793444
0.464035625,-0.583786011,-0.048648834,2.705773315,2.768462037
0.474068625,-0.258362732,0.347427521,3.185974731,3.21525927
0.484101625,0.763861542,-0.079035645,2.832559662,2.934812656
0.494134625,1.306782532,-0.354462891,2.342628479,2.705777655
0.504167625,1.073118439,-0.368982697,3.120261383,3.320205191
0.514200625,0.987496491,-0.469274139,3.407364349,3.578477238
0.524232625,-0.572259979,-0.690514069,2.039808197,2.228252374
0.53426575,-0.387394409,-1.29645401,3.900139618,4.128190459
0.54429875,-0.051193542,-1.812880096,4.125421143,4.506468088
0.55433175,-0.068258057,-2.196831665,4.167184296,4.711279389
0.56436475,0.255818024,-2.90186554,4.626429291,5.46718524
0.57439775,0.590671692,-3.917204132,5.129982147,6.481519736
0.58442975,0.840502167,-4.855453033,5.691015472,7.527916389
0.59446275,1.120869141,-5.560337219,6.15699646,8.371517367
0.60449575,1.11982132,-6.285429382,6.765780487,9.302494714
0.61452875,0.642913055,-7.127727814,7.93440033,10.68515557
0.62456175,-0.031434631,-8.432564392,9.817634125,12.94198865
0.63459475,-0.630488892,-10.07075775,11.68530029,15.43903886
0.64462775,-1.015039215,-11.27455444,12.80347504,17.09019764
0.65465975,-1.558409271,-11.8072966,13.46779358,17.97838581
0.66469275,-1.975741425,-12.32432144,14.25545563,18.94757157
0.67472575,-2.177821198,-13.28726898,15.42093201,20.47192141
0.68475875,-2.651885376,-14.55139023,16.85524933,22.42487199
0.69479175,-3.37458252,-15.75339066,18.34150864,24.41245714
0.70482475,-4.033212891,-16.90300003,19.48243607,26.10638871
0.71485675,-4.499942322,-17.33694763,19.85082001,26.73713315
0.72488975,-5.08986557,-17.23201584,20.26830185,27.08603259
