Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.014568083,-0.257137886,0.178268741,0.101281377,0.328873158
0.024600083,-0.249224265,0.194527509,0.055184852,0.320934657
0.034633083,-0.104388587,0.169499087,0.12824815,0.236800561
0.044665083,0.077894999,0.013698272,0.191250145,0.206958671
0.054697083,0.163036891,-0.11922882,0.160545831,0.258014541
0.064730083,0.182090774,-0.093995161,0.09565577,0.226146339
0.074762083,0.166593752,-0.005444342,0.038060111,0.170972779
0.084794083,0.117435333,0.102808669,0.003939269,0.156128786
0.094827083,0.026525601,0.171566078,0.011364648,0.173976096
0.104859083,-0.025484797,0.2066751,0.029793903,0.210360995
0.114892083,-0.026233972,0.223588756,-0.012789615,0.225485537
0.124924083,0.032682866,0.213351451,-0.103027355,0.239168658
0.134956083,0.128679821,0.1685916,-0.221807694,0.306888053
0.144989083,0.128741948,0.114872645,-0.301145055,0.347071401
0.155021083,0.027663762,0.070705701,-0.272639294,0.283013718
0.165053083,-0.086785544,0.098071255,-0.250868356,0.282992285
0.175086083,-0.153712044,0.118435353,-0.244973778,0.312516363
0.185118083,-0.154461949,0.083557296,-0.235113033,0.293459459
0.195151083,-0.128612286,0.051035083,-0.255368373,0.290445702
0.205183083,-0.115134161,0.039904908,-0.174193232,0.212583063
0.215215083,-0.164650722,0.029634274,-0.043369383,0.172826369
0.225248083,-0.237156343,0.054383199,0.051014618,0.248602402
0.235280083,-0.29331651,0.124829868,0.044109056,0.32181156
0.245312083,-0.325376647,0.15714509,0.003030612,0.361349867
0.255345083,-0.292942727,0.078754978,0.014663063,0.303698524
0.265377083,-0.308232026,-0.01478527,-0.071321998,0.31672135
0.275410083,-0.219595107,-0.025675709,-0.179740486,0.284934897
0.285442083,-0.104162592,-0.041852615,-0.303393894,0.323495505
0.295474083,-0.039122697,-0.086523004,-0.457572107,0.467321141
0.305507083,0.021980707,-0.113250042,-0.536864444,0.549119436
0.315539083,0.10461619,-0.169476868,-0.630978304,0.661665003
0.325571083,0.136907584,-0.173750013,-0.749032418,0.781013647
0.335604083,0.113119796,-0.158996903,-0.770265412,0.794597325
0.345636083,0.095470414,-0.165225357,-0.684599025,0.710696731
0.355669083,0.070124049,-0.246840209,-0.593480694,0.646580858
0.365701083,0.243684028,-0.606667335,-0.582341164,0.875527494
0.375733083,0.387156574,-0.599807089,-0.545687308,0.898572977
0.385766083,0.181837443,-0.414616122,-0.414579284,0.613878951
0.395798083,-0.056407578,-0.294190669,-0.301950801,0.425328403
0.405830083,-0.206662674,-0.197389721,-0.243340066,0.375348572
0.415863083,-0.286834872,-0.166586297,-0.228775236,0.402943354
0.425895083,-0.377233118,-0.16788701,-0.237773516,0.476473628
0.435928083,-0.441506589,-0.181423022,-0.25748448,0.542347342
0.445960083,-0.513248563,-0.167167218,-0.234500245,0.588523008
0.455992083,-0.580220963,-0.159790371,-0.230127112,0.644319654
0.466025083,-0.61812532,-0.179251658,-0.260992225,0.694497667
0.476057083,-0.591032831,-0.243676573,-0.279896273,0.697882513
0.486089083,-0.536733905,-0.354599131,-0.336804884,0.726127646
0.496122083,-0.488738789,-0.400236064,-0.291349214,0.695657154
0.506154083,-0.481298061,-0.40823564,-0.174357539,0.65475546
0.516187083,-0.535011315,-0.441901276,-1.17E-05,0.693911987
0.526219083,-0.587828264,-0.497023271,0.141110271,0.782615045
0.536251083,-0.553748206,-0.588490973,0.191825511,0.830515339
0.546284083,-0.433806245,-0.654001715,0.171766638,0.803374059
0.556316083,-0.282443539,-0.666708884,0.034354731,0.724882982
0.566348083,-0.155769825,-0.617226237,-0.129368477,0.649591155
0.576381083,-0.148960669,-0.514820441,-0.303370505,0.615843349
0.586413083,-0.244843019,-0.371714223,-0.40620958,0.602599196
0.596446083,-0.378892338,-0.238964886,-0.452459886,0.636697392
0.606478083,-0.422570089,-0.139272491,-0.536375032,0.696893451
0.616509875,-0.414267774,-0.063755116,-0.628029553,0.755052066
0.626542875,-0.380190274,0.016210528,-0.630532161,0.736463327
0.636574875,-0.361489051,0.023442365,-0.533195901,0.644609764
0.646606875,-0.311216738,0.008425838,-0.351966714,0.469901501
0.656639875,-0.293090808,-0.038563557,-0.180756147,0.346499862
0.666671875,-0.396908414,-0.031674952,0.012594903,0.398369456
0.676703875,-0.482538694,-0.010386994,0.244983133,0.541265385
0.686736875,-0.525417789,-0.043871659,0.376407491,0.647820326
0.696768875,-0.516283122,-0.083648221,0.36715895,0.639023459
0.706801875,-0.493400628,-0.069927437,0.305110052,0.58431684
0.716833875,-0.558366556,0.012691966,0.266019661,0.618628125
0.726865875,-0.623584792,0.070601036,0.260136777,0.679347953
0.736898875,-0.666496484,0.037707524,0.267296108,0.719087359
0.746930875,-0.58731349,-0.105534349,0.248172205,0.646269353
0.756962875,-0.483974003,-0.277898279,0.198411815,0.592305274
0.766995875,-0.387425107,-0.387207298,0.052812052,0.550287941
0.777027875,-0.287052973,-0.443130654,-0.188753384,0.560706719
0.787060875,-0.166178856,-0.377985362,-0.476071528,0.630184454
0.797092875,-0.068918646,-0.173751183,-0.740201953,0.763438396
0.807124875,-0.080050721,0.069466091,-0.97779479,0.983522398
0.817157875,-0.197668634,0.352589443,-1.094925045,1.16715597
0.827189875,-0.291796088,0.616369035,-1.042905291,1.246076719
0.837221875,-0.370080511,0.78823566,-0.815582503,1.19308418
0.847254875,-0.423162851,0.770204017,-0.502360609,1.012248589
0.857286875,-0.426375896,0.601771754,-0.242645416,0.776403533
0.867319875,-0.324265238,0.395502451,-0.061153105,0.515082358
0.877351875,-0.108773999,0.217623719,0.044858084,0.247394651
0.887383875,0.149170657,0.107624436,0.111786484,0.215246655
0.897416875,0.46530695,0.022143113,0.167980565,0.49519526
0.907448875,0.767569846,-0.041060318,0.320061382,0.832639602
0.917480875,0.998467914,-0.079288244,0.540896684,1.138329488
0.927513875,1.135721507,-0.147051334,0.692912012,1.338512044
0.937545875,1.146526431,-0.171253837,0.796734003,1.406639899
0.947578875,1.130186094,-0.092797651,0.946755431,1.477253484
0.957610875,1.063671531,-0.011977144,1.099211054,1.529642285
0.967642875,1.001234085,0.034729537,1.180299656,1.548154744
0.977675875,1.017819274,0.039744694,1.102645708,1.501120672
0.987707875,1.108141652,0.009557859,1.023528203,1.508535467
0.997739875,1.202273054,-0.112071536,1.015174286,1.57752951
1.007772875,1.275231541,-0.219372621,1.062748402,1.67444737
1.017804875,1.370456225,-0.279467087,1.157246423,1.815343329
1.027837875,1.456117788,-0.359600547,1.270465475,1.965623079
1.037869875,1.482501595,-0.458256816,1.326561323,2.041463992
1.047901875,1.498053288,-0.509830135,1.359661242,2.0863291
1.057934875,1.520661109,-0.5389098,1.277416645,2.057821
1.067966875,1.49088504,-0.482550827,1.11134695,1.921115704
1.077998875,1.426516551,-0.36308578,0.915562289,1.733503695
1.088031875,1.358852133,-0.286204834,0.76775988,1.586772687
1.098063875,1.242269178,-0.211708383,0.63140515,1.409512545
1.108096875,1.105422551,-0.061107497,0.555739841,1.23876548
1.118128875,0.91980766,0.117876652,0.623952874,1.117702208
1.128160875,0.676195261,0.283198196,0.862307019,1.131819174
1.138193875,0.459888335,0.337451586,1.091323745,1.231405039
1.148225875,0.395207897,0.307179089,1.177621046,1.279585716
1.158257875,0.398291427,0.190880893,1.102795397,1.187951709
1.168290875,0.423076312,0.085899983,0.904792888,1.002508126
1.178322875,0.504355387,0.035277129,0.683329595,0.850034215
1.188355875,0.544325637,0.121613315,0.548436669,0.782216707
1.198387875,0.477166711,0.328073529,0.558097438,0.804234457
1.208419875,0.351795245,0.421425789,0.589806889,0.805749189
1.218452875,0.240999425,0.448635222,0.574440406,0.767682269
1.228484875,0.19022352,0.497005729,0.510426258,0.73738365
1.238516875,0.188454445,0.511003963,0.471475031,0.720367152
1.248549875,0.161341344,0.488397166,0.46418063,0.692839432
1.258581875,0.152660257,0.413718866,0.401870361,0.596630742
1.268614875,0.172230176,0.324438608,0.189684261,0.413405083
1.278646875,0.198145182,0.32747799,-0.051983501,0.386271448
1.288678875,0.186041135,0.415914496,-0.188964468,0.493258291
1.298711875,0.153359457,0.441553075,-0.243901983,0.52723469
1.308743875,0.118466179,0.407980409,-0.284743615,0.511430519
1.318775875,0.090122258,0.354562586,-0.344816154,0.50272739
1.328808875,0.057183869,0.337209511,-0.405710228,0.5306421
1.338840875,0.01558663,0.393067378,-0.34511904,0.52330876
