Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01124225,-0.661472995,0.215653792,0.880670199,1.122333765
0.02127425,-0.761540782,0.283339991,0.923807448,1.230303261
0.03130625,-0.79952064,0.311568009,0.753742935,1.14211921
0.04133825,-0.608464769,0.310550301,0.417143288,0.800424505
0.05137025,-0.31892673,0.233619947,0.114739913,0.411652506
0.06140225,-0.146199395,0.201429563,-0.062245365,0.256559188
0.07143425,-0.168878552,0.265052239,-0.037888788,0.316556811
0.08146625,-0.37032054,0.385646676,0.26866845,0.598367276
0.09149825,-0.534552455,0.455924361,0.587731712,0.915992312
0.10153125,-0.567195413,0.41742951,0.658839701,0.964379482
0.11156325,-0.457668732,0.253503696,0.405994402,0.662235794
0.12159525,-0.155634279,0.009116102,-0.060907522,0.167376397
0.13162725,0.149713864,-0.142458054,-0.54124167,0.579354022
0.14165925,0.521479396,-0.216836099,-0.957911918,1.11200445
0.15169125,1.28437527,-0.62191892,-1.127793998,1.818879402
0.16172325,1.462093058,-0.510618632,-1.363830307,2.063608636
0.17175525,1.094618504,-0.040756847,-1.43049909,1.801715415
0.18178825,0.788506533,0.290617435,-1.28448476,1.534959981
0.19182025,0.579982251,0.427302533,-1.026165882,1.253787575
0.20185225,0.451352862,0.394823881,-0.592958538,0.843329788
0.21188425,0.483136718,0.156469737,-0.143367296,0.527691244
0.22191625,0.458593725,-0.187194224,0.04488732,0.497357772
0.23194825,0.555007696,-0.532655618,0.093837871,0.774958771
0.24198025,0.614934202,-0.685757359,0.066965237,0.923521289
0.25201225,0.441221684,-0.615161293,-0.288605116,0.810180784
0.26204525,0.535924723,-0.423344553,-0.911206114,1.138741631
0.27207725,1.407512516,0.062121696,-0.700402295,1.573376612
0.28210925,0.538983036,-0.065234754,-1.687284243,1.772480297
0.29214125,0.545204839,-0.182874301,-1.98385619,2.06552093
0.30217325,0.932882692,-0.033345794,-1.980809791,2.189746444
0.31220525,0.673667948,0.068410084,-1.88845302,2.006181261
0.32223725,0.792581165,-0.000433279,-1.520348575,1.714539262
0.33226925,0.988249173,-0.052412102,-0.741441563,1.236575533
0.34230125,0.237845364,-0.459401701,-0.759652131,0.919071107
0.35233425,-0.356138849,-0.818974034,-0.884743955,1.257109865
0.36236625,-0.009974984,-0.687279535,-0.679519549,0.966539951
0.37239825,-0.058225477,-0.562384324,-0.886932567,1.051815437
0.38243025,-0.562917956,-0.24519451,-0.591878557,0.852828939
0.39246225,-6.323619887,2.246850502,8.407192154,10.75720157
0.40249425,-9.723666446,4.562786734,11.09792292,15.4445008
0.41252625,-2.597678763,1.564297564,-2.1327187,3.707216055
0.42255825,3.222051467,0.017787522,-2.897638587,4.333386832
0.43259025,1.124699505,0.195707185,-3.254558478,3.44897103
0.44262325,-0.683430459,-0.559709662,-4.50513231,4.590922482
0.45265525,2.151150293,0.834096396,-2.576657438,3.458659846
0.4626875,2.025643171,2.963230606,-0.658192415,3.64927159
0.4727195,0.479229609,2.217710172,-1.819944702,2.908624786
0.4827515,-0.012567421,0.958676003,-2.322141005,2.512281128
0.4927835,-0.534424986,-0.224738465,-1.271241986,1.397202071
0.5028155,-1.088282462,-0.626611311,-0.430414714,1.327500387
0.5128475,-0.754323271,-1.136581779,0.187455887,1.376939158
0.5228795,-0.814216301,-1.086207139,-0.853314001,1.603414768
0.5329125,-0.4645683,0.066621713,-1.090861815,1.18753596
0.5429445,-0.432495153,0.486618443,-1.598861479,1.726327777
0.5529765,-0.471238219,0.066505354,-3.221025281,3.255993287
0.5630085,-0.759346322,0.402438126,-3.096632785,3.213673581
0.5730405,-0.873726631,0.214753613,-3.139057258,3.265455222
0.5830725,-0.679672161,-0.298243666,-3.717003654,3.790385165
0.5931045,-0.450120123,-0.173588338,-3.792637389,3.823197536
0.6031365,-0.088146484,-0.08759129,-3.499946238,3.502151583
0.6131685,0.117073537,-0.319153017,-3.196535972,3.214561725
0.6232015,0.309233801,-0.449935205,-2.974218986,3.023912335
