sitution,time
rest,0:0:0:0
rest,0:0:0:10
rest,0:0:0:20
rest,0:0:0:30
rest,0:0:0:40
rest,0:0:0:50
rest,0:0:1:0
rest,0:0:1:10
rest,0:0:1:20
rest,0:0:1:30
rest,0:0:1:40
rest,0:0:1:50
rest,0:0:2:0
rest,0:0:2:10
rest,0:0:2:20
rest,0:0:2:30
rest,0:0:2:40
rest,0:0:2:50
rest,0:0:3:0
rest,0:0:3:10
rest,0:0:3:20
rest,0:0:3:30
rest,0:0:3:40
rest,0:0:3:50
rest,0:0:4:0
rest,0:0:4:10
rest,0:0:4:20
rest,0:0:4:30
rest,0:0:4:40
rest,0:0:4:50
rest,0:0:5:0
rest,0:0:5:10
rest,0:0:5:20
rest,0:0:5:30
rest,0:0:5:40
rest,0:0:5:50
rest,0:0:6:0
rest,0:0:6:10
rest,0:0:6:20
rest,0:0:6:30
rest,0:0:6:40
rest,0:0:6:50
rest,0:0:7:0
rest,0:0:7:10
rest,0:0:7:20
rest,0:0:7:30
rest,0:0:7:40
rest,0:0:7:50
rest,0:0:8:0
rest,0:0:8:10
rest,0:0:8:20
rest,0:0:8:30
rest,0:0:8:40
rest,0:0:8:50
rest,0:0:9:0
rest,0:0:9:10
rest,0:0:9:20
rest,0:0:9:30
rest,0:0:9:40
rest,0:0:9:50
rest,0:0:10:0
rest,0:0:10:10
rest,0:0:10:20
rest,0:0:10:30
rest,0:0:10:40
rest,0:0:10:50
rest,0:0:11:0
rest,0:0:11:10
rest,0:0:11:20
rest,0:0:11:30
rest,0:0:11:40
rest,0:0:11:50
rest,0:0:12:0
rest,0:0:12:10
rest,0:0:12:20
rest,0:0:12:30
rest,0:0:12:40
rest,0:0:12:50
rest,0:0:13:0
rest,0:0:13:10
rest,0:0:13:20
rest,0:0:13:30
rest,0:0:13:40
rest,0:0:13:50
rest,0:0:14:0
rest,0:0:14:10
rest,0:0:14:20
rest,0:0:14:30
rest,0:0:14:40
rest,0:0:14:50
rest,0:0:15:0
rest,0:0:15:10
rest,0:0:15:20
rest,0:0:15:30
rest,0:0:15:40
rest,0:0:15:50
rest,0:0:16:0
rest,0:0:16:10
rest,0:0:16:20
rest,0:0:16:30
rest,0:0:16:40
rest,0:0:16:50
rest,0:0:17:0
rest,0:0:17:10
rest,0:0:17:20
rest,0:0:17:30
rest,0:0:17:40
rest,0:0:17:50
rest,0:0:18:0
rest,0:0:18:10
rest,0:0:18:20
rest,0:0:18:30
rest,0:0:18:40
rest,0:0:18:50
rest,0:0:19:0
rest,0:0:19:10
rest,0:0:19:20
rest,0:0:19:30
rest,0:0:19:40
rest,0:0:19:50
rest,0:0:20:0
rest,0:0:20:10
rest,0:0:20:20
rest,0:0:20:30
rest,0:0:20:40
rest,0:0:20:50
rest,0:0:21:0
rest,0:0:21:10
rest,0:0:21:20
rest,0:0:21:30
rest,0:0:21:40
rest,0:0:21:50
rest,0:0:22:0
rest,0:0:22:10
rest,0:0:22:20
rest,0:0:22:30
rest,0:0:22:40
rest,0:0:22:50
rest,0:0:23:0
rest,0:0:23:10
rest,0:0:23:20
rest,0:0:23:30
rest,0:0:23:40
rest,0:0:23:50
rest,0:0:24:0
rest,0:0:24:10
rest,0:0:24:20
rest,0:0:24:30
rest,0:0:24:40
rest,0:0:24:50
rest,0:0:25:0
rest,0:0:25:10
rest,0:0:25:20
rest,0:0:25:30
rest,0:0:25:40
rest,0:0:25:50
rest,0:0:26:0
rest,0:0:26:10
rest,0:0:26:20
rest,0:0:26:30
rest,0:0:26:40
rest,0:0:26:50
rest,0:0:27:0
rest,0:0:27:10
rest,0:0:27:20
rest,0:0:27:30
rest,0:0:27:40
rest,0:0:27:50
rest,0:0:28:0
rest,0:0:28:10
rest,0:0:28:20
rest,0:0:28:30
rest,0:0:28:40
rest,0:0:28:50
rest,0:0:29:0
rest,0:0:29:10
rest,0:0:29:20
rest,0:0:29:30
rest,0:0:29:40
rest,0:0:29:50
rest,0:0:30:0
rest,0:0:30:10
rest,0:0:30:20
rest,0:0:30:30
rest,0:0:30:40
rest,0:0:30:50
rest,0:0:31:0
rest,0:0:31:10
rest,0:0:31:20
rest,0:0:31:30
rest,0:0:31:40
rest,0:0:31:50
rest,0:0:32:0
rest,0:0:32:10
rest,0:0:32:20
rest,0:0:32:30
rest,0:0:32:40
rest,0:0:32:50
rest,0:0:33:0
rest,0:0:33:10
rest,0:0:33:20
rest,0:0:33:30
rest,0:0:33:40
rest,0:0:33:50
rest,0:0:34:0
rest,0:0:34:10
rest,0:0:34:20
rest,0:0:34:30
rest,0:0:34:40
rest,0:0:34:50
rest,0:0:35:0
rest,0:0:35:10
rest,0:0:35:20
rest,0:0:35:30
rest,0:0:35:40
rest,0:0:35:50
rest,0:0:36:0
rest,0:0:36:10
rest,0:0:36:20
rest,0:0:36:30
rest,0:0:36:40
rest,0:0:36:50
rest,0:0:37:0
rest,0:0:37:10
rest,0:0:37:20
rest,0:0:37:30
rest,0:0:37:40
rest,0:0:37:50
rest,0:0:38:0
rest,0:0:38:10
rest,0:0:38:20
rest,0:0:38:30
rest,0:0:38:40
rest,0:0:38:50
rest,0:0:39:0
rest,0:0:39:10
rest,0:0:39:20
rest,0:0:39:30
rest,0:0:39:40
rest,0:0:39:50
rest,0:0:40:0
rest,0:0:40:10
rest,0:0:40:20
rest,0:0:40:30
rest,0:0:40:40
rest,0:0:40:50
rest,0:0:41:0
rest,0:0:41:10
rest,0:0:41:20
rest,0:0:41:30
rest,0:0:41:40
rest,0:0:41:50
rest,0:0:42:0
rest,0:0:42:10
rest,0:0:42:20
rest,0:0:42:30
rest,0:0:42:40
rest,0:0:42:50
rest,0:0:43:0
rest,0:0:43:10
rest,0:0:43:20
rest,0:0:43:30
rest,0:0:43:40
rest,0:0:43:50
rest,0:0:44:0
rest,0:0:44:10
rest,0:0:44:20
rest,0:0:44:30
rest,0:0:44:40
rest,0:0:44:50
rest,0:0:45:0
rest,0:0:45:10
rest,0:0:45:20
rest,0:0:45:30
rest,0:0:45:40
rest,0:0:45:50
rest,0:0:46:0
rest,0:0:46:10
rest,0:0:46:20
rest,0:0:46:30
rest,0:0:46:40
rest,0:0:46:50
rest,0:0:47:0
rest,0:0:47:10
rest,0:0:47:20
rest,0:0:47:30
rest,0:0:47:40
rest,0:0:47:50
rest,0:0:48:0
rest,0:0:48:10
rest,0:0:48:20
rest,0:0:48:30
rest,0:0:48:40
rest,0:0:48:50
rest,0:0:49:0
rest,0:0:49:10
rest,0:0:49:20
rest,0:0:49:30
rest,0:0:49:40
rest,0:0:49:50
rest,0:0:50:0
rest,0:0:50:10
rest,0:0:50:20
rest,0:0:50:30
rest,0:0:50:40
rest,0:0:50:50
rest,0:0:51:0
rest,0:0:51:10
rest,0:0:51:20
rest,0:0:51:30
rest,0:0:51:40
rest,0:0:51:50
rest,0:0:52:0
rest,0:0:52:10
rest,0:0:52:20
rest,0:0:52:30
rest,0:0:52:40
rest,0:0:52:50
rest,0:0:53:0
rest,0:0:53:10
rest,0:0:53:20
rest,0:0:53:30
rest,0:0:53:40
rest,0:0:53:50
rest,0:0:54:0
rest,0:0:54:10
rest,0:0:54:20
rest,0:0:54:30
rest,0:0:54:40
rest,0:0:54:50
rest,0:0:55:0
rest,0:0:55:10
rest,0:0:55:20
rest,0:0:55:30
rest,0:0:55:40
rest,0:0:55:50
rest,0:0:56:0
rest,0:0:56:10
rest,0:0:56:20
rest,0:0:56:30
rest,0:0:56:40
rest,0:0:56:50
rest,0:0:57:0
rest,0:0:57:10
rest,0:0:57:20
rest,0:0:57:30
rest,0:0:57:40
rest,0:0:57:50
rest,0:0:58:0
rest,0:0:58:10
rest,0:0:58:20
rest,0:0:58:30
rest,0:0:58:40
rest,0:0:58:50
rest,0:0:59:0
rest,0:0:59:10
rest,0:0:59:20
rest,0:0:59:30
rest,0:0:59:40
rest,0:0:59:50
rest,0:1:0:0
rest,0:1:0:10
rest,0:1:0:20
rest,0:1:0:30
rest,0:1:0:40
rest,0:1:0:50
rest,0:1:1:0
rest,0:1:1:10
rest,0:1:1:20
rest,0:1:1:30
rest,0:1:1:40
rest,0:1:1:50
rest,0:1:2:0
rest,0:1:2:10
rest,0:1:2:20
rest,0:1:2:30
rest,0:1:2:40
rest,0:1:2:50
rest,0:1:3:0
rest,0:1:3:10
rest,0:1:3:20
rest,0:1:3:30
rest,0:1:3:40
rest,0:1:3:50
rest,0:1:4:0
rest,0:1:4:10
rest,0:1:4:20
rest,0:1:4:30
rest,0:1:4:40
rest,0:1:4:50
rest,0:1:5:0
rest,0:1:5:10
rest,0:1:5:20
rest,0:1:5:30
rest,0:1:5:40
rest,0:1:5:50
rest,0:1:6:0
rest,0:1:6:10
rest,0:1:6:20
rest,0:1:6:30
rest,0:1:6:40
rest,0:1:6:50
rest,0:1:7:0
rest,0:1:7:10
rest,0:1:7:20
rest,0:1:7:30
rest,0:1:7:40
rest,0:1:7:50
rest,0:1:8:0
rest,0:1:8:10
rest,0:1:8:20
rest,0:1:8:30
rest,0:1:8:40
rest,0:1:8:50
rest,0:1:9:0
rest,0:1:9:10
rest,0:1:9:20
rest,0:1:9:30
rest,0:1:9:40
rest,0:1:9:50
rest,0:1:10:0
rest,0:1:10:10
rest,0:1:10:20
rest,0:1:10:30
rest,0:1:10:40
rest,0:1:10:50
rest,0:1:11:0
rest,0:1:11:10
rest,0:1:11:20
rest,0:1:11:30
rest,0:1:11:40
rest,0:1:11:50
rest,0:1:12:0
rest,0:1:12:10
rest,0:1:12:20
rest,0:1:12:30
rest,0:1:12:40
rest,0:1:12:50
rest,0:1:13:0
rest,0:1:13:10
rest,0:1:13:20
rest,0:1:13:30
rest,0:1:13:40
rest,0:1:13:50
rest,0:1:14:0
rest,0:1:14:10
rest,0:1:14:20
rest,0:1:14:30
rest,0:1:14:40
rest,0:1:14:50
rest,0:1:15:0
rest,0:1:15:10
rest,0:1:15:20
rest,0:1:15:30
rest,0:1:15:40
rest,0:1:15:50
rest,0:1:16:0
rest,0:1:16:10
rest,0:1:16:20
rest,0:1:16:30
rest,0:1:16:40
rest,0:1:16:50
rest,0:1:17:0
rest,0:1:17:10
rest,0:1:17:20
rest,0:1:17:30
rest,0:1:17:40
rest,0:1:17:50
rest,0:1:18:0
rest,0:1:18:10
rest,0:1:18:20
